,sentiment,Open,High,Low,Close,Volume
2020-12-01,0.9579885005950928,19633.76953125,19845.974609375,18321.921875,18802.998046875,49633658712
2020-12-03,0.6249366834759712,19205.92578125,19566.19140625,18925.78515625,19445.3984375,31930317405
2020-12-04,0.2498074219777034,19446.966796875,19511.404296875,18697.193359375,18699.765625,33872388058
2020-12-05,0.5369462750174783,18698.384765625,19160.44921875,18590.193359375,19154.23046875,27242455064
2020-12-06,0.2814542446285486,19154.1796875,19390.5,18897.89453125,19345.12109375,25293775714
2020-12-07,0.5119338496676031,19343.12890625,19411.828125,18931.142578125,19191.630859375,26896357742
2020-12-08,0.05434448846748897,19191.529296875,19283.478515625,18269.9453125,18321.14453125,31692288756
2020-12-09,0.22943134686431368,18320.884765625,18626.29296875,17935.546875,18553.916015625,34420373071
2020-12-10,0.15806980889577132,18553.298828125,18553.298828125,17957.064453125,18264.9921875,25547132265
2020-12-11,0.3357280456183249,18263.9296875,18268.453125,17619.533203125,18058.904296875,27919640985
2020-12-12,0.4608142833624567,18051.3203125,18919.55078125,18046.041015625,18803.65625,21752580802
2020-12-13,0.5463374722748995,18806.765625,19381.53515625,18734.33203125,19142.3828125,25450468637
2020-12-14,0.4968276244978751,19144.4921875,19305.099609375,19012.708984375,19246.64453125,22473997681
2020-12-15,0.38648751338845805,19246.919921875,19525.0078125,19079.841796875,19417.076171875,26741982541
2020-12-16,0.6127207592382269,19418.818359375,21458.908203125,19298.31640625,21310.59765625,44409011479
2020-12-17,0.5968950252340297,21308.3515625,23642.66015625,21234.67578125,22805.162109375,71378606374
2020-12-18,0.6111982576549053,22806.796875,23238.6015625,22399.8125,23137.9609375,40387896275
2020-12-19,0.4280914564927419,23132.865234375,24085.85546875,22826.47265625,23869.83203125,38487546580
2020-12-20,0.5639465655599322,23861.765625,24209.66015625,23147.7109375,23477.294921875,37844228422
2020-12-21,0.2382700333283061,23474.455078125,24059.982421875,22159.3671875,22803.08203125,45852713981
2020-12-22,0.3216005942579043,22794.0390625,23789.90234375,22430.60546875,23783.029296875,44171632681
2020-12-23,0.333173718303442,23781.974609375,24024.490234375,22802.646484375,23241.345703125,51146161904
2020-12-24,0.4479202926158905,23240.203125,23768.337890625,22777.59765625,23735.94921875,41080759713
2020-12-25,0.6825644185145696,23733.5703125,24710.1015625,23463.673828125,24664.791015625,42068395846
2020-12-26,0.9090627326684839,24677.015625,26718.0703125,24522.689453125,26437.037109375,48332647295
2020-12-27,0.5988809529103731,26439.373046875,28288.83984375,25922.76953125,26272.294921875,66479895605
2020-12-28,0.395287166039149,26280.822265625,27389.111328125,26207.640625,27084.80859375,49056742893
2020-12-29,0.44400840226946203,27081.810546875,27370.720703125,25987.298828125,27362.4375,45265946774
2020-12-30,0.5911634894354003,27360.08984375,28937.740234375,27360.08984375,28840.953125,51287442704
2020-12-31,0.29676857819923985,28841.57421875,29244.876953125,28201.9921875,29001.720703125,46754964848
2021-02-01,0.3382035572573824,33114.578125,34638.21484375,32384.228515625,33537.17578125,61400400660
2021-02-02,0.6139869347437105,33533.19921875,35896.8828125,33489.21875,35510.2890625,63088585433
2021-02-03,0.6097460450270237,35510.8203125,37480.1875,35443.984375,37472.08984375,61166818159
2021-02-04,0.6198677485053604,37475.10546875,38592.17578125,36317.5,36926.06640625,68838074392
2021-02-05,0.3568391191462676,36931.546875,38225.90625,36658.76171875,38144.30859375,58598066402
2021-02-06,0.7491881543839419,38138.38671875,40846.546875,38138.38671875,39266.01171875,71326033653
2021-02-07,0.39767454138823916,39250.19140625,39621.8359375,37446.15234375,38903.44140625,65500641143
2021-02-08,0.6345641222811237,38886.828125,46203.9296875,38076.32421875,46196.46484375,101467222687
2021-02-09,0.665180994883964,46184.9921875,48003.72265625,45166.9609375,46481.10546875,91809846886
2021-02-10,0.43277604710310696,46469.76171875,47145.56640625,43881.15234375,44918.18359375,87301089896
2021-02-11,0.59105336007319,44898.7109375,48463.46875,44187.76171875,47909.33203125,81388911810
2021-02-12,0.5384525109778394,47877.03515625,48745.734375,46424.9765625,47504.8515625,76555041196
2021-02-13,0.6198639802634716,47491.203125,48047.74609375,46392.28125,47105.515625,70250456155
2021-02-14,0.5096490708264437,47114.5078125,49487.640625,47114.5078125,48717.2890625,71248675228
2021-02-15,0.3614340141668158,48696.53515625,48875.5703125,46347.4765625,47945.05859375,77069903166
2021-02-16,0.5577583309915877,47944.45703125,50341.1015625,47201.3046875,49199.87109375,77049582886
2021-02-17,0.5814424004103687,49207.27734375,52533.9140625,49072.37890625,52149.0078125,80820545404
2021-02-18,0.5110874416223213,52140.97265625,52474.10546875,51015.765625,51679.796875,52054723579
2021-02-19,0.7206256297372636,51675.98046875,56113.65234375,50937.27734375,55888.1328125,63495496918
2021-02-20,0.6466816600525018,55887.3359375,57505.2265625,54626.55859375,56099.51953125,68145460026
2021-02-21,0.5255849231034517,56068.56640625,58330.5703125,55672.609375,57539.9453125,51897585191
2021-02-22,-0.13357596800607793,57532.73828125,57533.390625,48967.56640625,54207.3203125,92052420332
2021-02-23,-0.15804412513971328,54204.9296875,54204.9296875,45290.58984375,48824.42578125,106102492824
2021-02-24,0.35177533109982806,48835.0859375,51290.13671875,47213.5,49705.33203125,63695521388
2021-02-25,0.2303235273103456,49709.08203125,51948.96875,47093.8515625,47093.8515625,54506565949
2021-02-26,-0.004221751206163047,47180.46484375,48370.78515625,44454.84375,46339.76171875,350967941479
2021-02-27,0.012619131034420382,46344.7734375,48253.26953125,45269.02734375,46188.453125,45910946382
2021-02-28,-0.21361004710197448,46194.015625,46716.4296875,43241.6171875,45137.76953125,53443887451
2021-03-01,0.3289688448111216,45159.50390625,49784.015625,45115.09375,49631.2421875,53891300112
2021-03-02,0.36145726759587565,49612.10546875,50127.51171875,47228.84375,48378.98828125,47530897720
2021-03-03,0.5470941242362771,48415.81640625,52535.13671875,48274.3203125,50538.2421875,53220811975
2021-03-04,0.21782024795154356,50522.3046875,51735.08984375,47656.9296875,48561.16796875,52343816680
2021-03-05,0.3682113411973734,48527.03125,49396.4296875,46542.515625,48927.3046875,48625928883
2021-03-06,0.12838502306687205,48899.23046875,49147.21875,47257.52734375,48912.3828125,34363564661
2021-03-07,0.14272975353967576,48918.6796875,51384.3671875,48918.6796875,51206.69140625,43137459378
2021-03-08,0.5481497675685559,51174.1171875,52314.0703125,49506.0546875,52246.5234375,48597428048
2021-03-09,0.6438722137747139,52272.96875,54824.1171875,51981.83203125,54824.1171875,50912227385
2021-03-10,0.46269253873434224,54824.01171875,57258.25390625,53290.890625,56008.55078125,57295577614
2021-03-11,0.4557214535899081,55963.1796875,58091.0625,54484.59375,57805.12109375,56772343595
2021-03-12,0.4549998621145884,57821.21875,57996.62109375,55376.6484375,57332.08984375,55689944702
2021-03-13,0.5953056677812483,57343.37109375,61683.86328125,56217.97265625,61243.0859375,60669829814
2021-03-14,0.2518334133284433,61221.1328125,61597.91796875,59302.31640625,59302.31640625,43901225564
2021-03-15,0.07660078257322311,59267.4296875,60540.9921875,55393.1640625,55907.19921875,66419369890
2021-03-16,0.08627746440470219,55840.78515625,56833.1796875,53555.02734375,56804.90234375,59749798599
2021-03-17,0.42580374399820964,56825.828125,58969.81640625,54528.62890625,58870.89453125,60258313191
2021-03-18,0.42173530673608184,58893.078125,60116.25,54253.578125,57858.921875,55746041000
